Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
1065,24.000,3001.714,3000.846,3001.525,3001.743,3001.892,3002.183,3002.330,3002.401,3002.668,0.000
1070,24.000,3001.636,3000.874,3001.411,3001.633,3001.811,3002.063,3002.185,3002.388,3002.515,0.000
1075,12.000,3001.742,3001.084,3001.527,3001.709,3001.979,3002.128,3002.379,3002.688,3002.688,0.000
1080,24.000,3001.559,3000.946,3001.378,3001.547,3001.674,3001.990,3002.161,3002.404,3002.414,0.000
1085,24.000,3001.609,3001.031,3001.462,3001.597,3001.723,3001.941,3002.091,3002.305,3002.766,0.000
1090,12.000,3001.638,3001.183,3001.473,3001.651,3001.769,3001.948,3002.072,3002.418,3002.418,0.000
1095,24.000,3001.570,3001.006,3001.417,3001.574,3001.746,3001.881,3001.972,3002.134,3002.138,0.000
1100,24.000,3001.633,3000.747,3001.442,3001.631,3001.822,3002.069,3002.331,3002.511,3002.524,0.000
1105,12.000,3001.471,3000.902,3001.239,3001.441,3001.631,3001.896,3002.104,3002.572,3002.572,0.000
1110,24.000,3001.525,3000.956,3001.375,3001.558,3001.708,3001.826,3001.931,3002.095,3002.103,0.000
1115,24.000,3001.551,3000.959,3001.345,3001.582,3001.727,3001.868,3001.998,3002.050,3002.156,0.000
1120,12.000,3001.566,3001.291,3001.440,3001.536,3001.662,3001.808,3001.876,3002.089,3002.089,0.000
1125,24.000,3001.635,3001.016,3001.488,3001.656,3001.817,3001.969,3002.040,3002.165,3002.490,0.000
1130,24.000,3001.730,3001.054,3001.532,3001.700,3002.001,3002.187,3002.258,3002.417,3002.486,0.000
1135,12.000,3001.572,3001.076,3001.440,3001.589,3001.776,3001.808,3001.872,3001.875,3001.875,0.000
1140,24.000,3001.597,3001.012,3001.385,3001.647,3001.798,3001.902,3002.001,3002.207,3002.578,0.000
1145,24.000,3001.599,3001.032,3001.467,3001.585,3001.695,3001.936,3002.031,3002.100,3002.186,0.000
1150,12.000,3001.639,3001.002,3001.491,3001.611,3001.752,3002.208,3002.300,3002.315,3002.315,0.000
